Epic,User Story ,Dépendance IA,Priorité
Authentification & Identité,"En tant que user, je veux me connecter via email/mot de passe.",,P1
Authentification & Identité,"En tant que user, je veux me connecter via email + code de vérification.",,P2
Authentification & Identité,"En tant que user, je veux me connecter via Google OAuth.",,P2
Authentification & Identité,"En tant que user, je veux me connecter via LinkedIn.",,P2
Authentification & Identité,"En tant que user, je veux vérifier mon adresse email après inscription.",,P1
Authentification & Identité,"En tant que user, je veux réinitialiser mon mot de passe via un lien sécurisé.",,P1
Sécurité & Accès,"En tant que user, je veux utiliser l’Authentification Multi-Facteur (MFA).",,P2
Sécurité & Accès,"En tant que ARH/Admin, je veux générer et valider des tokens JWT.",,P1
Sécurité & Accès,"En tant que ARH/Admin, je veux consulter les logs de connexion.",,P2
Sécurité & Accès,"En tant que user, je veux visualiser et révoquer mes appareils connectés.",,P2
Sécurité & Accès,"En tant que ARH/Admin, je veux gérer les rôles (RBAC).",,P1
Module RECRUIT,"En tant que recruteur, je veux créer, modifier et publier des offres d'emploi.",,P1
Module RECRUIT,"En tant que recruteur, je veux visualiser les candidats dans un Kanban.",,P1
Module RECRUIT,"En tant que recruteur, je veux un parsing automatique des CV.",DATA & IA ENGINE,P2
Module RECRUIT,"En tant que recruteur, je veux voir le score de pertinence IA.",DATA & IA ENGINE,P2
Module RECRUIT,"En tant que recruteur, je veux voir la déduction des soft skills.",DATA & IA ENGINE,P3
Module RECRUIT,"En tant que recruteur, je veux voir la liste des candidats et leurs profils.",,P1
Module RECRUIT,"En tant que recruteur, je veux obtenir un rapport IA pour chaque candidat.",,P2
Module RECRUIT,"En tant que recruteur, je veux recevoir des matchings pertinents depuis LinkedIn.",,P3
Module RECRUIT,"En tant que recruteur, je veux créer des postes LinkedIn à partir des offres.",,P3
Module PROFILE,"En tant que recruteur, je veux consulter un profil 360° (CV, tests, notes).",,P1
Module PROFILE,"En tant que recruteur, je veux visualiser le profil DISC (IA ou questionnaire).",,P2
Module PROFILE,"En tant que recruteur, je veux obtenir la transcription des entretiens vidéo.",DATA & IA ENGINE,P3
Module PROFILE,"En tant que recruteur, je veux archiver et historiser les détails des entretiens.",,P1
Module PROFILE,"En tant que recruteur, je veux créer un profil personnalisable de mon entreprise.",,P2
Module PROFILE,"En tant que candidat, je veux créer un profil à partir de mon CV et compte LinkedIn, personnalisable.",,P1
Module INSIGHT,"En tant que ARH/DRH, je veux visualiser les KPI clés (Temps, Diversité, Pipeline).",,P2
Module INSIGHT,"En tant que ARH/DRH, je veux voir le score global pondéré (Hard + Soft + Culture Fit).",,P2
Module INSIGHT,"En tant que user, je veux interroger un Chatbot IA.",DATA & IA ENGINE,P3
Module PSYNARIO,"En tant que ARH, je veux visualiser la composition d’équipe et les profils psychologiques.",,P3
Module PSYNARIO,"En tant que ARH, je veux simuler l’intégration pour prédire synergies et conflits.",DATA & IA ENGINE,P3
Module GROW,"En tant que candidat, je veux voir la cartographie des compétences pour identifier mes gaps.",,P2
Module GROW,"En tant que candidat, je veux recevoir des recommandations de formations personnalisées (IA).",DATA & IA ENGINE,P2
Module GROW,"En tant que candidat, je veux recevoir des notifications de mobilité interne.",,P2
Portail CANDIDAT,"En tant que candidat, je veux gérer mon profil, importer mon CV et voir l’état de mes candidatures.",,P1
Portail CANDIDAT,"En tant que candidat, je veux voir les offres, recommandations et les filtrer.",DATA & IA ENGINE,P2
Portail CANDIDAT,"En tant que candidat, je veux une analyse comparée de mes compétences par rapport au marché.",,P2
Portail CANDIDAT,"En tant que candidat, je veux un dashboard récapitulatif.",,P2
Portail CANDIDAT,"En tant que candidat, je veux voir ma liste de candidatures avec suivi.",,P1
Expérience UI & UX,"En tant que user, je veux une interface moderne avec des thèmes.",,P1
Expérience UI & UX,"En tant que user, je veux sélectionner la langue de l’interface.",,P1
Expérience UI & UX,"En tant que user, je veux sélectionner la devise de préférence.",,P2
Conformité & RGPD,"En tant que user, je veux donner un consentement explicite pour le traitement.",,P1
Conformité & RGPD,"En tant que user, je veux exporter mes données personnelles.",,P1
Conformité & RGPD,"En tant que user, je veux demander la suppression de mes données (Droit à l’oubli).",,P1
Notifications,"En tant que user, je veux recevoir des alertes de connexion.",,P1
Notifications,"En tant que candidat, je veux recevoir des alertes de matching d’emploi.",DATA & IA ENGINE,P1
Notifications,"En tant que recruteur, je veux recevoir des rapports de performance.",,P2
Notifications,"En tant que candidat, je veux recevoir des alertes d’expiration d’offres.",,P2
DATA & IA ENGINE,"En tant que système, je veux normaliser les CV en format structuré.",,P1
,"En tant que système, je veux extraire automatiquement les compétences via NLP.",,P1
,"En tant que système, je veux comparer CV et Job Description sémantiquement.",,P1
,"En tant que système, je veux intégrer l’API LinkedIn.",,P2
,"En tant que système, je veux transcrire automatiquement les entretiens vidéo.",,P2
,"En tant que système, je veux analyser les émotions dans les vidéos.",,P3
,"En tant que système, je veux versionner et monitorer les modèles IA.",,P2
,"En tant que système, je veux assurer la conformité et réduire les biais algorithmiques.",,P1
